Ettari;Nord;EstN
1.5;5059550;1560990
3;5059590;1571950
0.02;5118130;1605150
8;5033300;1618150
1;5115050;1603875
2;5048200;1605600
0.3;5048300;1608300
2;5075000;1589000
4;5123430;1594220
19;5085125;1596600
0.1;5048600;1603550
1.3;5063540;1621000
0.01;5068530;1594010
0.05;5078100;1592110
6;5116900;1585900
1;5112200;1575300
1.5;5106025;1601725
0.3;5084900;1548550
0.15;5051650;1615650
0.5;5116625;1604150
0.7;5021220;1491040
0.05;5111410;1547630
0.05;5105925;1601700
0.5;5104950;1602050
1.5;5043300;1598300
0.1;5056250;1592250
0.2;5108680;1601650
0.3;5049200;1605800
3;5114500;1600650
1;5116000;1603450
1;5114925;1601925
2.5;5046700;1598300
2;5101450;1568530
0.5;5114600;1600400
1.5;4999846;1494784
0.2;5054775;1590250
0.05;4974500;1514900
1.5;5061500;1584000
1.6;4952150;1524430
2;4966300;1508720
0.05;5113500;1593800
1.2;5002800;1638500
1;5122400;1579300
16;5085375;1596250
0.25;5095750;1570600
1;5112725;1602995
1;5115000;1606000
1;5044620;1600800
0.2;5076900;1537925
1;5119250;1609720
0.3;5044930;1616050
0.5;5093750;1606375
0.2;5123820;1569688
0.3;5057850;1598900
0.1;5123820;1569688
0.1;5107975;1575700
1;5085100;1596025
0.38;4952850;1524700
1;5116180;1563820
14;5050120;1599980
0.01;5130600;1590800
4;5059800;1573100
0.05;5123100;1601125
2;5108790;1601705
0.3;5062500;1540725
0.08;5121350;1602100
1;5105430;1601200
0.03;5110350;1604610
0.06;5121400;1602100
0.6;5113475;1594223
0.57;4955900;1520450
0.5;5097190;1584170
0.1;5116610;1603110
0.2;5059800;1580600
2;5096000;1596610
0.15;5060890;1569130
1;5076600;1602700
0.1;5063450;1495740
22;5077360;1601400
1;5123100;1614150
14;5074250;1594950
0.8;5100000;1574600
8;5115550;1530750
3;5107700;1600960
0.15;5074900;1519900
40;5063100;1590100
0.56;5076060;1478580
1.5;5068540;1470820
2;5084300;1588675
10;5105575;1603700
1;5102375;1604025
0.2;5075375;1584020
18;5110470;1517380
0.4;5140176;1604055
1.2;5112900;1579750
0.3;5115650;1571000
0.7;5069400;1595790
