"long" "lat" "value"
1599320.98592991 5020160.73676422 17.152842776822
1611942.93390078 5021471.11610873 15.9664742237681
1574157.95638349 5027414.99325373 24.0065690654524
1616895.85784425 5022834.18646584 20.1583647331336
1639868.73774963 5006344.79305594 26.5853247804206
1628958.36848098 5010434.06464715 22.1889754654189
1595007.2750711 5032103.46046972 19.939305192163
1603515.48568588 5007987.98861447 15.6743973534832
1641452.49546674 4999694.91343955 23.5591351195303
1636015.19627905 5006440.40222693 26.8834407217981
1643087.64486353 4994351.30257499 20.2946603768619
1625988.20599055 5026547.26442725 29.8254457858416
1631194.62878987 5013848.04701782 24.5572568440072
1599485.4897291 5019563.92779133 17.2690216189954
1652126.51687057 5006528.88718722 22.7098397861269
1593503.66001761 5016135.53273596 16.1323074521635
1612521.98826839 5013068.2663085 12.9905522896577
1612436.52358542 5025650.13308005 18.6305355153432
1593650.08303984 5029748.80268709 20.4804380457916
1617867.74378518 5032599.58686897 25.7357011409717
1597074.71729556 5030435.2911043 18.1746309105881
1615397.15933444 5012344.42385128 13.2102193784111
1627743.43052855 5003974.3586904 19.5801916710576
1638573.74021372 4994911.7477546 24.7944064682806
1579282.05184053 5024909.85477425 19.0183329873229
1609342.91583376 5023170.22968462 16.2686587752913
1652009.54009596 4993570.26555964 27.9593784232289
1615150.91716149 5006412.3226279 14.4258450854142
1647864.53407888 4997919.56718281 20.8152189576255
1643259.39706666 5006378.07894323 23.7199303444653
1618840.29606182 4997964.16442214 19.0675466573822
1608911.11623394 5019958.1001118 14.4925189918052
1633131.49214114 5001520.41456645 22.3211486627019
1594750.64884805 5030359.22268676 19.3838503607137
1612844.34274952 5027199.92981443 20.0388017995668
1587621.72684823 5025342.00763991 23.3478498742101
1583009.91478676 5022883.49136126 20.1195141712767
1605136.98282613 5010585.77927197 17.0231592564951
1637704.8524011 4994536.87841774 25.3273436174177
1617952.64513537 5009781.79062262 14.7652263470304
1622602.87007268 5022086.0968436 20.4918549260305
1620222.734678 5026517.25908152 22.9578413998975
1619628.99734682 4998551.28418777 18.2869322751565
1612121.02014208 5001429.03652087 16.3749489995001
1630294.3834263 5000953.4151024 23.6467218766946
1611478.53541351 5023299.55655201 20.0055180567101
1601415.20934967 5011162.64165561 19.5359641026143
1592270.76264042 5021298.91825895 18.5881620994503
1607837.34374898 5018531.76217881 11.7758092921493
1641161.76247095 5012818.79110704 25.1290487783111
1633805.79029633 4997923.92353091 24.022568195754
1639393.43247546 5005107.23411742 27.2658822761852
1623604.13295516 5006003.24922316 20.0964789940069
1638025.11477307 4998130.37802896 25.604973750667
1651171.4584358 4993542.2589486 25.2504809556353
1615109.31325272 5012276.46734453 13.7952782691522
1611994.71437715 5017563.69978203 12.9990130066608
1588536.34159138 5019883.34166385 19.6291856360212
1594280.75271602 5028122.92367274 19.8323773676249
1621149.55135782 5004765.03523646 19.0464170358499
1609752.49611784 5025583.55708797 18.2411738235629
1609969.31661378 5006908.39232145 11.1521164525943
1628885.78797472 5010697.4742972 22.7466813750766
1615664.14789345 5003750.86217702 16.5958349816252
1592086.01108129 5029668.45314494 20.7564153200282
1621645.72904231 5009308.75345597 18.2169971754702
1606217.03800515 5013201.62069778 15.3623350026835
1608380.59868266 5025120.56449274 17.6746480747414
1624909.1926298 5002067.05390796 23.127920476439
1592409.59503725 5015732.39445075 16.3322012800701
1612334.81891236 5024439.16559914 19.4329354041777
1588534.15475827 5013395.2479084 20.725360267244
1647042.42382658 4995955.29295959 23.0346266998347
1638903.26982268 5000752.13537664 27.0301364067846
1633677.01146878 4991484.49984592 22.554370756587
1660362.52668803 5001449.16582207 33.0331981173406
1629906.23547206 5022714.84188693 27.3144295052888
1643062.67678593 4998642.6076364 25.3194170805599
1631215.54489473 4991786.20582312 19.7589236175157
1664365.99959831 4993568.35470093 32.2651663006932
1597926.64903597 5015306.85134224 19.9405243360843
1602846.12791876 5006356.11303886 14.7260951093045
1633882.3984952 5021750.6860299 25.6810464980873
1617927.03313821 5003577.8279038 16.0088474363632
1611719.98713966 5020478.03672761 13.8506012000842
1637961.88770672 5002471.02648482 26.0348314294565
1585260.97079355 5027940.46119289 22.9525818482442
1628982.66182287 4997433.89200892 18.2134026457407
1594241.87517718 5011429.02571022 19.1437282103342
1631945.68055839 4996288.2181601 23.5116703143349
1611277.15097652 5002707.41362868 18.1261241840215
1599389.78946065 5013879.39073785 21.5910591557542
1587163.48599906 5018669.24377723 21.0483805984969
1587322.19803234 5016294.79203023 17.6785515493827
1619539.60443987 5002717.89786803 16.9222257777569
1595722.2999036 5030887.48540672 18.6798481888583
1591905.53098432 5017779.21933288 18.2064474989311
1609783.23330313 5036109.01347898 22.4909726557093
1668515.77040224 4992138.58914417 28.8130296803048
1628023.80755495 5010888.75516411 24.2186807669666
